Product_ID,SKU,Category,Brand,Sub_Brand,Product_Name,Presentation,Pack_Quantity,Product_Description,Ingredients_List,Unit_Price
137,DAIDAN0137,Dairy and Refrigerated,Dannon,Dannon Greek Yogurt,Dannon Greek Yogurt 1 lb,1 lb,1,Delicious taste and nutritious goodness,"Cultured Pasteurized Grade A Low Fat Milk, Sugar, Natural Flavors, Modified Food Starch, Kosher Gelatin, Citric Acid, Potassium Sorbate, Vitamin A Palmitate, Vitamin D3, Live Cultures",3.47
150,DAIDAN0150,Dairy and Refrigerated,Dannon,Dannon Greek Yogurt,Dannon Greek Yogurt 16 oz,16 oz,1,Made from premium milk for superior quality,"Cultured Pasteurized Grade A Low Fat Milk, Sugar, Natural Flavors, Modified Food Starch, Kosher Gelatin, Citric Acid, Potassium Sorbate, Vitamin A Palmitate, Vitamin D3, Live Cultures",2.36
149,DAIDAN0149,Dairy and Refrigerated,Dannon,Dannon Yogurt Strawberry,Dannon Yogurt Strawberry 32 oz,32 oz,1,High-quality dairy product with natural ingredients,"Cultured Pasteurized Grade A Milk, Sugar, Strawberries, Modified Corn Starch, Kosher Gelatin, Natural Flavor, Citric Acid, Sodium Citrate, Red 40, Vitamin D3, Live and Active Cultures (L. Bulgaricus, S. Thermophilus, L. Acidophilus, Bifidus, L. Casei)",3.75
143,DAIDAN0143,Dairy and Refrigerated,Dannon,Dannon Yogurt Strawberry,Dannon Yogurt Strawberry 6-pack,6-pack,6,Made from premium milk for superior quality. Convenient multi-pack for stocking up,"Cultured Pasteurized Grade A Milk, Sugar, Strawberries, Modified Corn Starch, Kosher Gelatin, Natural Flavor, Citric Acid, Sodium Citrate, Red 40, Vitamin D3, Live and Active Cultures (L. Bulgaricus, S. Thermophilus, L. Acidophilus, Bifidus, L. Casei)",5.41
148,DAIDAN0148,Dairy and Refrigerated,Dannon,Dannon Yogurt Vanilla,Dannon Yogurt Vanilla 32 oz,32 oz,1,"Perfect for breakfast, snacks, or cooking","Cultured Pasteurized Grade A Milk, Sugar, Strawberries, Modified Corn Starch, Kosher Gelatin, Natural Flavor, Citric Acid, Sodium Citrate, Red 40, Vitamin D3, Live and Active Cultures (L. Bulgaricus, S. Thermophilus, L. Acidophilus, Bifidus, L. Casei)",4.11
142,DAIDAN0142,Dairy and Refrigerated,Dannon,Dannon Yogurt Vanilla,Dannon Yogurt Vanilla 4-pack,4-pack,4,Made from premium milk for superior quality. Convenient multi-pack for stocking up,"Cultured Pasteurized Grade A Low Fat Milk, Sugar, Natural Flavors, Modified Food Starch, Kosher Gelatin, Citric Acid, Potassium Sorbate, Vitamin A Palmitate, Vitamin D3, Live Cultures",4.04
154,DAIDAN0154,Dairy and Refrigerated,Dannon,Dannon Yogurt Vanilla,Dannon Yogurt Vanilla 4-pack,4-pack,4,"Fresh and creamy with rich, smooth texture. Convenient multi-pack for stocking up","Cultured Pasteurized Grade A Milk, Sugar, Strawberries, Modified Corn Starch, Kosher Gelatin, Natural Flavor, Citric Acid, Sodium Citrate, Red 40, Vitamin D3, Live and Active Cultures (L. Bulgaricus, S. Thermophilus, L. Acidophilus, Bifidus, L. Casei)",4.13
138,DAIGRE0138,Dairy and Refrigerated,Great Value,Great Value Milk 2%,Great Value Milk 2% 1 lb,1 lb,1,"Perfect for breakfast, snacks, or cooking","Grade A Pasteurized Milk, Vitamin D3",3.74
132,DAIGRE0132,Dairy and Refrigerated,Great Value,Great Value Milk 2%,Great Value Milk 2% 16 oz package,16 oz package,1,High-quality dairy product with natural ingredients. Convenient multi-pack for stocking up,"Grade A Pasteurized Milk, Vitamin D3",4.57
159,DAIGRE0159,Dairy and Refrigerated,Great Value,Great Value Milk Whole,Great Value Milk Whole 1 lb,1 lb,1,"Fresh and creamy with rich, smooth texture","Grade A Pasteurized Reduced Fat Milk, Vitamin A Palmitate, Vitamin D3",3.71
145,DAIGRE0145,Dairy and Refrigerated,Great Value,Great Value Milk Whole,Great Value Milk Whole 8 oz package,8 oz package,1,Fresh taste you can trust. Convenient multi-pack for stocking up,"Grade A Pasteurized Milk, Vitamin D3",2.89
156,DAIKRA0156,Dairy and Refrigerated,Kraft,Kraft Singles American,Kraft Singles American 1 gallon,1 gallon,1,Made from premium milk for superior quality,"Cultured Milk, Water, Milkfat, Sodium Citrate, Salt, Sodium Phosphate, Sorbic Acid (preservative), Lactic Acid, Enzymes, Annatto and Paprika (color), Vitamin D3",4.27
134,DAIKRA0134,Dairy and Refrigerated,Kraft,Kraft Singles American,Kraft Singles American 1 lb,1 lb,1,"Perfect for breakfast, snacks, or cooking","Pasteurized Milk, Cheese Culture, Salt, Enzymes, Potato Starch and Powdered Cellulose (anti-caking), Natamycin (natural mold inhibitor)",3.43
139,DAILAN0139,Dairy and Refrigerated,Land O'Lakes,Land O'Lakes Butter Salted,Land O'Lakes Butter Salted 8 oz package,8 oz package,1,Delicious taste and nutritious goodness. Convenient multi-pack for stocking up,"Cream, Salt",2.82
141,DAILAN0141,Dairy and Refrigerated,Land O'Lakes,Land O'Lakes Butter Salted,Land O'Lakes Butter Salted 8 oz package,8 oz package,1,Fresh taste you can trust. Convenient multi-pack for stocking up,"Sweet Cream, Natural Flavoring",3.24
146,DAILAN0146,Dairy and Refrigerated,Land O'Lakes,Land O'Lakes Butter Unsalted,Land O'Lakes Butter Unsalted 1 lb,1 lb,1,Rich source of calcium and protein,"Cream, Salt",3.32
155,DAILAN0155,Dairy and Refrigerated,Land O'Lakes,Land O'Lakes Butter Unsalted,Land O'Lakes Butter Unsalted 32 oz,32 oz,1,Made from premium milk for superior quality,"Sweet Cream, Natural Flavoring",3.65
136,DAILAN0136,Dairy and Refrigerated,Land O'Lakes,Land O'Lakes Butter Unsalted,Land O'Lakes Butter Unsalted 4-pack,4-pack,4,Delicious taste and nutritious goodness. Convenient multi-pack for stocking up,"Cream, Salt",4.35
140,DAILAN0140,Dairy and Refrigerated,Land O'Lakes,Land O'Lakes Butter Unsalted,Land O'Lakes Butter Unsalted 6 oz,6 oz,1,Creamy texture and authentic dairy flavor,"Cream, Salt",0.97
158,DAILAN0158,Dairy and Refrigerated,Land O'Lakes,Land O'Lakes Butter Unsalted,Land O'Lakes Butter Unsalted 8 oz,8 oz,1,High-quality dairy product with natural ingredients,"Cream, Salt",1.29
151,DAITRO0151,Dairy and Refrigerated,Tropicana,Tropicana Orange Juice No Pulp,Tropicana Orange Juice No Pulp 4-pack,4-pack,4,Made from premium milk for superior quality. Convenient multi-pack for stocking up,"Pasteurized Milk, Cheese Culture, Salt, Enzymes, Potato Starch and Powdered Cellulose (anti-caking), Natamycin (natural mold inhibitor)",4.35
144,DAITRO0144,Dairy and Refrigerated,Tropicana,Tropicana Orange Juice No Pulp,Tropicana Orange Juice No Pulp 6 oz,6 oz,1,Creamy texture and authentic dairy flavor,"Cultured Milk, Water, Milkfat, Sodium Citrate, Salt, Sodium Phosphate, Sorbic Acid (preservative), Lactic Acid, Enzymes, Annatto and Paprika (color), Vitamin D3",0.94
152,DAITRO0152,Dairy and Refrigerated,Tropicana,Tropicana Orange Juice Some Pulp,Tropicana Orange Juice Some Pulp 0.5 gallon,0.5 gallon,1,High-quality dairy product with natural ingredients,"Cheddar Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes, Annatto), Potato Starch and Powdered Cellulose (anti-caking), Natamycin",2.32
135,DAITRO0135,Dairy and Refrigerated,Tropicana,Tropicana Orange Juice Some Pulp,Tropicana Orange Juice Some Pulp 6 oz,6 oz,1,High-quality dairy product with natural ingredients,"Pasteurized Milk, Cheese Culture, Salt, Enzymes, Potato Starch and Powdered Cellulose (anti-caking), Natamycin (natural mold inhibitor)",0.93
131,DAIYOP0131,Dairy and Refrigerated,Yoplait,Yoplait Greek,Yoplait Greek 1 gallon,1 gallon,1,Made from premium milk for superior quality,"Pasteurized Milk, Cheese Culture, Salt, Enzymes, Potato Starch and Powdered Cellulose (anti-caking), Natamycin (natural mold inhibitor)",3.78
157,DAIYOP0157,Dairy and Refrigerated,Yoplait,Yoplait Greek,Yoplait Greek 6 oz,6 oz,1,"Fresh and creamy with rich, smooth texture","Cheddar Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes, Annatto), Potato Starch and Powdered Cellulose (anti-caking), Natamycin",0.96
160,DAIYOP0160,Dairy and Refrigerated,Yoplait,Yoplait Original Peach,Yoplait Original Peach 0.5 gallon,0.5 gallon,1,Made from premium milk for superior quality,"Cultured Milk, Water, Milkfat, Sodium Citrate, Salt, Sodium Phosphate, Sorbic Acid (preservative), Lactic Acid, Enzymes, Annatto and Paprika (color), Vitamin D3",2.56
147,DAIYOP0147,Dairy and Refrigerated,Yoplait,Yoplait Original Peach,Yoplait Original Peach 6 oz,6 oz,1,"Perfect for breakfast, snacks, or cooking","Pasteurized Milk, Cheese Culture, Salt, Enzymes, Potato Starch and Powdered Cellulose (anti-caking), Natamycin (natural mold inhibitor)",1.04
153,DAIYOP0153,Dairy and Refrigerated,Yoplait,Yoplait Original Strawberry,Yoplait Original Strawberry 1 gallon,1 gallon,1,Rich source of calcium and protein,"Cheddar Cheese (Pasteurized Milk, Cheese Culture, Salt, Enzymes, Annatto), Potato Starch and Powdered Cellulose (anti-caking), Natamycin",3.68
7,DETAJA0007,Detergents and Cleaning,Ajax,Ajax Antibacterial,Ajax Antibacterial 100 oz,100 oz,1,Advanced stain-fighting technology with a long-lasting fresh scent,"Water, Pine Oil, Isopropyl Alcohol, Sodium Dodecylbenzenesulfonate, Alkyl Dimethyl Benzyl Ammonium Chloride, Glycolic Acid, Fragrance, Colorants",13.54
2,DETAJA0002,Detergents and Cleaning,Ajax,Ajax Antibacterial,Ajax Antibacterial 1L,1L,1,Powerful cleaning formula that tackles tough stains and leaves clothes fresh,"Water, Isopropanol, 2-Butoxyethanol, Sodium C12-15 Pareth Sulfate, Lauramine Oxide, Fragrance, Tetrasodium EDTA, Colorants, Methylisothiazolinone",7.24
32,DETAJA0032,Detergents and Cleaning,Ajax,Ajax Antibacterial,Ajax Antibacterial 1L,1L,1,Advanced stain-fighting technology with a long-lasting fresh scent,"Water, Isopropanol, 2-Butoxyethanol, Sodium C12-15 Pareth Sulfate, Lauramine Oxide, Fragrance, Tetrasodium EDTA, Colorants, Methylisothiazolinone",7.51
25,DETAJA0025,Detergents and Cleaning,Ajax,Ajax Antibacterial,Ajax Antibacterial 24 pods,24 pods,24,Multi-surface cleaner that disinfects and deodorizes,"Water, Isopropanol, 2-Butoxyethanol, Sodium C12-15 Pareth Sulfate, Lauramine Oxide, Fragrance, Tetrasodium EDTA, Colorants, Methylisothiazolinone",7.34
17,DETAJA0017,Detergents and Cleaning,Ajax,Ajax Antibacterial,Ajax Antibacterial 3L,3L,1,Gentle yet effective cleaning for everyday use,"Water, Pine Oil, Isopropyl Alcohol, Sodium Dodecylbenzenesulfonate, Alkyl Dimethyl Benzyl Ammonium Chloride, Glycolic Acid, Fragrance, Colorants",14.91
34,DETAJA0034,Detergents and Cleaning,Ajax,Ajax Lavender,Ajax Lavender 2L,2L,1,Concentrated formula provides excellent cleaning performance,"Water, Isopropanol, 2-Butoxyethanol, Sodium C12-15 Pareth Sulfate, Lauramine Oxide, Fragrance, Tetrasodium EDTA, Colorants, Methylisothiazolinone",12.08
39,DETAJA0039,Detergents and Cleaning,Ajax,Ajax Lavender,Ajax Lavender 48 pods,48 pods,48,Gentle yet effective cleaning for everyday use,"Water, Isopropanol, 2-Butoxyethanol, Sodium C12-15 Pareth Sulfate, Lauramine Oxide, Fragrance, Tetrasodium EDTA, Colorants, Methylisothiazolinone",16.11
38,DETAJA0038,Detergents and Cleaning,Ajax,Ajax Lemon,Ajax Lemon 24 pods,24 pods,24,Advanced stain-fighting technology with a long-lasting fresh scent,"Water, Isopropanol, 2-Butoxyethanol, Sodium C12-15 Pareth Sulfate, Lauramine Oxide, Fragrance, Tetrasodium EDTA, Colorants, Methylisothiazolinone",8.7
8,DETAJA0008,Detergents and Cleaning,Ajax,Ajax Lemon,Ajax Lemon 64 oz,64 oz,1,Advanced stain-fighting technology with a long-lasting fresh scent,"Water, Pine Oil, Isopropyl Alcohol, Sodium Dodecylbenzenesulfonate, Alkyl Dimethyl Benzyl Ammonium Chloride, Glycolic Acid, Fragrance, Colorants",9.2
14,DETARI0014,Detergents and Cleaning,Ariel,Ariel Color,Ariel Color 32 oz,32 oz,1,Professional-grade cleaning power for spotless results,"Water, Sodium Laureth Sulfate, Linear Alkylbenzene Sulfonate, Sodium Citrate, Glycerin, Sodium Chloride, Fragrance, Enzymes (Protease, Amylase, Mannanase), Optical Brighteners, Preservatives (Methylisothiazolinone)",5.93
3,DETARI0003,Detergents and Cleaning,Ariel,Ariel Mountain Spring,Ariel Mountain Spring 100 oz,100 oz,1,Multi-surface cleaner that disinfects and deodorizes,"Water, Sodium Laureth Sulfate, Linear Alkylbenzene Sulfonate, Sodium Citrate, Glycerin, Sodium Chloride, Fragrance, Enzymes (Protease, Amylase, Mannanase), Optical Brighteners, Preservatives (Methylisothiazolinone)",12.68
37,DETARI0037,Detergents and Cleaning,Ariel,Ariel Regular,Ariel Regular 24 pods,24 pods,24,Fresh scent technology keeps surfaces clean and fragrant,"Water, Sodium Laureth Sulfate, Linear Alkylbenzene Sulfonate, Sodium Citrate, Glycerin, Sodium Chloride, Fragrance, Enzymes (Protease, Amylase, Mannanase), Optical Brighteners, Preservatives (Methylisothiazolinone)",8.5
1,DETARI0001,Detergents and Cleaning,Ariel,Ariel Regular,Ariel Regular 32 oz,32 oz,1,Advanced stain-fighting technology with a long-lasting fresh scent,"Water, Sodium Laureth Sulfate, Linear Alkylbenzene Sulfonate, Sodium Citrate, Glycerin, Sodium Chloride, Fragrance, Enzymes (Protease, Amylase, Mannanase), Optical Brighteners, Preservatives (Methylisothiazolinone)",5.68
4,DETARI0004,Detergents and Cleaning,Ariel,Ariel Regular,Ariel Regular 3L,3L,1,Professional-grade cleaning power for spotless results,"Water, Sodium Laureth Sulfate, Linear Alkylbenzene Sulfonate, Sodium Citrate, Glycerin, Sodium Chloride, Fragrance, Enzymes (Protease, Amylase, Mannanase), Optical Brighteners, Preservatives (Methylisothiazolinone)",16.01
16,DETCLO0016,Detergents and Cleaning,Clorox,Clorox Disinfecting,Clorox Disinfecting 1L,1L,1,Professional-grade cleaning power for spotless results,"Water, Pine Oil, Isopropyl Alcohol, Sodium Dodecylbenzenesulfonate, Alkyl Dimethyl Benzyl Ammonium Chloride, Glycolic Acid, Fragrance, Colorants",7.14
33,DETCLO0033,Detergents and Cleaning,Clorox,Clorox Disinfecting,Clorox Disinfecting 48 pods,48 pods,48,Concentrated formula provides excellent cleaning performance,"Water, Pine Oil, Isopropyl Alcohol, Sodium Dodecylbenzenesulfonate, Alkyl Dimethyl Benzyl Ammonium Chloride, Glycolic Acid, Fragrance, Colorants",15.32
23,DETCLO0023,Detergents and Cleaning,Clorox,Clorox Disinfecting,Clorox Disinfecting 72 pods,72 pods,72,Gentle yet effective cleaning for everyday use,"Water, Pine Oil, Isopropyl Alcohol, Sodium Dodecylbenzenesulfonate, Alkyl Dimethyl Benzyl Ammonium Chloride, Glycolic Acid, Fragrance, Colorants",19.7
